Transaction ID,Account Number,Customer Name,Transaction Date,Transaction Time,Transaction Type,Amount,Balance Before,Balance After,Transaction Mode,Branch Code,City,Country,Is Fraudulent,Employee ID
T000051,GB54MAOY38584486865638,Gregory Rogers,2025-01-15,09:43:22,Transfer,3383.15,6706.12,3322.97,ATM,BR-581,Jenniferburgh,Venezuela,Yes,E1436
T000052,GB64WVKW41259349532880,Felicia Payne,2025-01-21,23:55:25,Withdrawal,4921.62,6876.41,1954.79,Online,BR-398,Lake Joshuaview,Libyan Arab Jamahiriya,No,
T000053,GB56IODU01970570635108,Kristin Henry,2025-01-04,19:45:02,Deposit,537.17,8759.47,9296.64,ATM,BR-133,Bairdberg,Saint Kitts and Nevis,Yes,E1075
T000054,GB98JUVJ91180351805433,Johnny Gonzalez,2025-01-20,18:15:10,Transfer,2042.98,8645.61,6602.63,ATM,BR-337,Port Laurenhaven,Djibouti,Yes,E1329
T000055,GB08TAWE30744372277319,Ryan Thomas,2025-01-19,06:02:58,Withdrawal,1729.55,6617.45,4887.9,Bank Branch,BR-395,West Caitlinborough,Saudi Arabia,No,E1067
T000056,GB07QJDA68416057935520,David Vasquez,2025-01-22,06:37:25,Transfer,4315.28,3418.47,-896.81,ATM,BR-823,Valerieborough,Norway,Yes,
T000057,GB22BZCZ64829783741037,Noah Jackson,2025-01-07,08:10:31,Deposit,1280.85,8988.48,10269.33,Bank Branch,BR-389,Strongside,Cyprus,No,
T000058,GB18XSXE46311296858898,Kimberly Mendez,2025-01-17,13:41:04,Withdrawal,991.53,18866.91,17875.38,Online,BR-819,New Reginaldshire,Guatemala,Yes,
T000059,GB45YCEO55803756363758,Dr. Ronald Sanders MD,2025-01-20,11:13:34,Deposit,2270.64,13869.04,16139.68,ATM,BR-980,West Jenniferstad,Kiribati,No,E1101
T000060,GB07SRZT82506062701901,Donna Sharp,2025-01-05,19:26:03,Transfer,2138.31,18153.31,16015.0,Online,BR-564,West Teresa,Australia,Yes,E1873
T000061,GB60EULD86146213319501,Brianna Bryant DDS,2025-01-15,02:41:50,Withdrawal,1428.8,12694.78,11265.98,Bank Branch,BR-172,Carrilloburgh,El Salvador,Yes,
T000062,GB44VFPF17115944022608,Lisa Jones,2025-01-06,01:32:16,Transfer,1286.54,6718.05,5431.51,Bank Branch,BR-803,Lyonschester,Colombia,No,E1909
T000063,GB62KCRG80650024795693,Laurie Horne,2025-01-17,10:00:32,Transfer,4620.16,11410.81,6790.65,Bank Branch,BR-339,Glennfort,Cambodia,Yes,
T000064,GB40VYQX75266434925190,Andrew Gonzalez,2025-01-03,05:53:45,Withdrawal,2243.5,1007.71,-1235.79,ATM,BR-370,Jeffreychester,Suriname,Yes,
T000065,GB84DSVL12519841799357,Mary Richardson,2025-01-16,17:00:00,Transfer,4313.68,6451.36,2137.68,Bank Branch,BR-906,Sheltonfurt,Rwanda,No,
T000066,GB33LKOD97329914544644,Lauren Kennedy,2025-01-21,03:23:56,Deposit,2774.11,9167.87,11941.98,Bank Branch,BR-910,Brittanyfurt,Azerbaijan,No,E1747
T000067,GB58OHMT74064173964401,Austin Valencia,2025-01-14,09:37:17,Transfer,300.41,12019.71,11719.3,ATM,BR-740,South Codyland,Faroe Islands,No,
T000068,GB03TFHK73154833711003,Megan Peters,2025-01-09,11:18:29,Deposit,4996.45,13439.41,18435.86,ATM,BR-703,New Erin,Botswana,No,
T000069,GB77ASIY58167171846104,Kenneth Harvey,2025-01-22,11:22:22,Deposit,4188.34,9834.78,14023.12,ATM,BR-777,Butlerville,Hungary,Yes,E1383
T000070,GB24DDBA35634768876748,Aaron Young,2025-01-19,17:59:58,Transfer,4846.53,9401.04,4554.51,Bank Branch,BR-923,Patriciaberg,New Zealand,No,
T000071,GB50LTNH60702498339505,Lisa Henson,2025-01-06,03:28:35,Deposit,4635.52,5060.33,9695.85,Bank Branch,BR-302,Nguyenhaven,India,No,E1068
T000072,GB89PVYE41120911981777,Heidi Crawford,2025-01-01,00:01:04,Withdrawal,4251.04,9990.54,5739.5,ATM,BR-535,Barreraview,French Polynesia,No,E1851
T000073,GB91YMHD77150491523196,Meredith Guerrero,2025-01-20,01:41:25,Deposit,873.24,18122.44,18995.68,ATM,BR-217,West Danielle,Panama,No,
T000074,GB47EKAW69337535261536,Ashley Parker,2025-01-17,16:39:29,Deposit,2453.92,16124.47,18578.39,Online,BR-657,New Tyler,Chad,Yes,
T000075,GB08NKMV02566002542833,Jillian Miller,2025-01-23,07:57:58,Deposit,1108.05,4224.14,5332.19,Online,BR-330,Langmouth,Panama,Yes,E1831
T000076,GB15RBEP53929131656993,Stephanie Hurst,2025-01-02,08:58:24,Withdrawal,2035.15,2611.12,575.97,ATM,BR-763,Riveraville,Dominican Republic,Yes,E1569
T000077,GB42OSOY99872041190002,James Aguilar,2025-01-13,11:37:50,Withdrawal,340.25,10793.59,10453.34,ATM,BR-252,Port Michael,Denmark,No,
T000078,GB85ZQUX25934066432186,Bradley Smith,2025-01-09,14:13:19,Withdrawal,1925.92,13025.88,11099.96,Online,BR-372,New Steven,Timor-Leste,Yes,E1686
T000079,GB46CZNA51579497882207,Matthew Blackwell,2025-01-08,12:50:43,Transfer,4927.28,7368.58,2441.3,ATM,BR-946,South Levi,Guinea-Bissau,Yes,
T000080,GB61RPGI91098154489324,Melissa Humphrey,2025-01-11,11:23:19,Withdrawal,1362.76,16550.05,15187.29,Bank Branch,BR-245,North Carolyn,Samoa,No,
T000081,GB69JLXN71106817184217,Brenda Moore,2025-01-03,00:43:37,Deposit,3931.15,15271.62,19202.77,Bank Branch,BR-173,South Jeremyberg,American Samoa,Yes,E1888
T000082,GB77PSAW37569271887135,Christine Richardson,2025-01-10,06:19:22,Withdrawal,2302.29,13783.12,11480.83,Bank Branch,BR-161,Lisachester,Poland,Yes,
T000083,GB39OEER26422116864841,Taylor Bonilla,2025-01-21,17:31:42,Withdrawal,2143.89,5268.17,3124.28,ATM,BR-269,Danielport,Pitcairn Islands,No,
T000084,GB05BSSW96519068070784,Danielle Trujillo,2025-01-12,18:46:06,Deposit,4788.72,4783.47,9572.19,ATM,BR-911,East Maria,Jersey,Yes,E1360
T000085,GB55SUDC94655837492435,Timothy Brown,2025-01-14,13:55:53,Transfer,4977.34,1464.08,-3513.26,Online,BR-414,Courtneyside,Timor-Leste,No,E1591
T000086,GB51BKJQ17357326348061,Shannon Smith,2025-01-07,15:40:52,Withdrawal,2801.05,5652.01,2850.96,ATM,BR-709,North Deborah,Andorra,Yes,
T000087,GB57PBCY26888163074843,Jonathan Wheeler,2025-01-07,02:55:19,Transfer,3606.12,10027.59,6421.47,ATM,BR-866,Sanchezchester,Martinique,Yes,E1229
T000088,GB66FHQL75881733355759,Luis Weber,2025-01-07,06:16:22,Transfer,816.24,17145.02,16328.78,Online,BR-944,Alyssafort,Belgium,No,
T000089,GB83DGDF29772199961855,Stacy Lee,2025-01-07,09:44:38,Transfer,1518.7,2383.74,865.04,ATM,BR-682,West Melissa,Cocos (Keeling) Islands,Yes,
T000090,GB58HXFE43296409339840,Amanda Stevens,2025-01-14,01:08:35,Deposit,4845.11,8874.38,13719.49,Online,BR-395,Petersonside,Fiji,No,E1587
T000091,GB08SEJP83482202659714,Michael Gentry,2025-01-13,23:19:11,Transfer,2916.94,12965.54,10048.6,ATM,BR-549,Brandonmouth,Belize,No,
T000092,GB19HGDT41848513528943,James Murphy,2025-01-21,17:20:48,Transfer,2733.87,4694.27,1960.4,ATM,BR-227,Port Emily,Suriname,No,E1865
T000093,GB07CGHH71225686833401,Juan Mccullough,2025-01-23,00:46:18,Deposit,3752.48,14230.73,17983.21,ATM,BR-579,Heatherland,Uganda,No,
T000094,GB81SMKQ64087827881670,Scott Sanchez,2025-01-18,14:40:29,Transfer,332.97,10393.17,10060.2,ATM,BR-805,Reneeville,Aruba,Yes,E1029
T000095,GB91LTKK42221988028926,Amy Bentley,2025-01-05,23:28:05,Transfer,2941.68,5635.7,2694.02,Bank Branch,BR-411,New Angela,Syrian Arab Republic,Yes,
T000096,GB45VMTX83545521027846,Bryan Taylor,2025-01-02,05:47:28,Deposit,2539.11,13465.1,16004.21,Bank Branch,BR-816,East Christine,Bahamas,No,
T000097,GB87RHQR98560567966341,Beverly Graham DVM,2025-01-16,10:11:18,Deposit,4270.96,1105.35,5376.31,ATM,BR-512,Wareview,Vietnam,Yes,E1359
T000098,GB10RGKI54167419341330,Miguel Dean,2025-01-06,08:35:09,Withdrawal,829.29,15268.33,14439.04,Bank Branch,BR-378,Tinaton,Montserrat,Yes,E1185
T000099,GB54JJMQ55162345677754,Angela Rodriguez,2025-01-11,16:39:22,Withdrawal,4805.86,15630.88,10825.02,Online,BR-612,Hallburgh,Chile,Yes,
T000100,GB67GPPM86430848862799,Nicole Robinson,2025-01-02,09:54:33,Withdrawal,446.55,3025.16,2578.61,Bank Branch,BR-652,Lake Andrewville,Botswana,Yes,E1071
T000101,GB97DLSS62155543694196,Jeffrey Edwards,2025-01-18,04:02:28,Transfer,969.83,9077.78,8107.95,Online,BR-605,Kelseymouth,Algeria,No,E1758
T000102,GB73RQME88037103221151,Dr. Sharon Garcia,2025-01-08,21:00:53,Transfer,2995.42,4341.85,1346.43,Online,BR-548,Lake Andrew,Belize,Yes,E1093
T000103,GB61VTQU96753564295817,Mary Allen,2025-01-12,20:26:29,Transfer,3392.3,19201.35,15809.05,Online,BR-182,New Marystad,Luxembourg,No,
T000104,GB22TDZB23866027273657,Kim Edwards,2025-01-01,23:54:17,Deposit,1214.26,10841.2,12055.46,Bank Branch,BR-712,North Jessica,Tajikistan,Yes,
T000105,GB87DOQV11660182701811,Lisa Walsh DDS,2025-01-06,16:41:15,Transfer,643.44,1954.15,1310.71,ATM,BR-140,North Maria,Northern Mariana Islands,Yes,
T000106,GB90PYJF31634639578432,Rachel Riddle,2025-01-14,19:47:24,Withdrawal,4456.92,5734.77,1277.85,ATM,BR-542,Sarahland,Congo,No,
T000107,GB25VEUP89352856045606,Tyler Williamson,2025-01-01,18:58:08,Deposit,1268.77,17118.39,18387.16,Bank Branch,BR-852,New Ashleeside,Mongolia,No,E1795
T000108,GB39LXHU32241143085165,Randall Garcia,2025-01-22,02:58:57,Deposit,2992.87,9672.77,12665.64,Online,BR-430,Destinymouth,United States of America,No,E1904
T000109,GB27QDNY19398236747634,Todd Becker,2025-01-20,17:42:16,Deposit,3115.94,16226.92,19342.86,Bank Branch,BR-718,Frederickstad,Syrian Arab Republic,No,E1159
T000110,GB15KKFE94166898327503,Kenneth Herring,2025-01-05,05:45:55,Withdrawal,2125.16,13683.98,11558.82,ATM,BR-356,East Davidtown,Georgia,Yes,E1772
T000111,GB13DLMO31379780951838,Walter Savage,2025-01-04,11:28:54,Withdrawal,2939.18,19769.96,16830.78,Bank Branch,BR-126,Port Josephfort,Ecuador,No,E1690
T000112,GB70WRJL30406045886151,Tammy Knox,2025-01-21,22:50:45,Withdrawal,2637.77,12313.59,9675.82,Bank Branch,BR-193,Marissaview,Qatar,No,
T000113,GB21FBLA92493770269720,Sarah Wolfe,2025-01-15,23:54:24,Deposit,4676.8,19050.75,23727.55,ATM,BR-334,Triciafurt,United States of America,Yes,
T000114,GB30QHRB19650366451519,Nicholas Reyes,2025-01-12,15:28:56,Deposit,1061.08,17937.09,18998.17,ATM,BR-790,Downsmouth,France,Yes,
T000115,GB78NAWJ20327708263893,Stephanie Mathis,2025-01-11,22:48:28,Transfer,3595.15,12640.39,9045.24,Online,BR-956,Rebekahmouth,Malta,No,
T000116,GB69DUFP42903073891381,Meagan Fleming,2025-01-09,11:58:29,Transfer,1231.5,14666.21,13434.71,Online,BR-981,South Kimberly,Liberia,No,E1220
T000117,GB46GIQC36364579774910,Amanda Curtis,2025-01-03,02:13:37,Withdrawal,2009.14,10590.79,8581.65,ATM,BR-689,New Michelleland,Myanmar,No,
T000118,GB83RPTI78543669839201,Richard Hernandez,2025-01-04,17:26:31,Deposit,3374.87,16780.81,20155.68,Online,BR-701,Kristenhaven,El Salvador,No,
T000119,GB12GWKN65102836880314,Anita Wong,2025-01-07,06:06:20,Transfer,1534.99,11409.57,9874.58,ATM,BR-121,West Julia,Pitcairn Islands,No,
T000120,GB91ZQRI04458524088533,Rebecca Davis,2025-01-05,16:25:33,Withdrawal,1615.08,18046.95,16431.87,Bank Branch,BR-883,South Crystalmouth,Serbia,No,
T000121,GB24HSLI13197751680780,Robert Watson,2025-01-09,01:25:29,Withdrawal,3771.73,15129.45,11357.72,Online,BR-788,Mooretown,Mali,No,E1046
T000122,GB34QSYL70034920236921,Ryan Jones,2025-01-16,00:37:40,Transfer,409.09,10018.81,9609.72,ATM,BR-941,Gregoryshire,Bangladesh,Yes,E1404
T000123,GB10INPX97672999055795,Laura Robinson,2025-01-18,10:50:35,Withdrawal,2318.51,5924.64,3606.13,Bank Branch,BR-375,Jonesville,Syrian Arab Republic,No,E1007
T000124,GB37DQWY56609520547927,Rebecca Dean,2025-01-20,16:57:59,Deposit,4992.35,5697.56,10689.91,Bank Branch,BR-690,Thomastown,Israel,No,E1308
T000125,GB59LYBJ60804306722462,Michael Jackson,2025-01-03,14:18:56,Withdrawal,4980.68,13115.57,8134.89,ATM,BR-141,Port Jessicahaven,Switzerland,Yes,E1785
T000126,GB73HJLK37548948534779,Rhonda Phillips,2025-01-16,20:28:14,Deposit,412.64,15550.46,15963.1,ATM,BR-881,West Meredith,United States Minor Outlying Islands,Yes,
T000127,GB95AGGA68120337887540,Cynthia Henry,2025-01-07,21:03:41,Deposit,1105.11,10904.7,12009.81,Bank Branch,BR-874,Lake Mark,Saint Lucia,No,
T000128,GB38GUDV89070425307273,Stephanie Burns,2025-01-04,19:49:54,Transfer,1362.74,12908.22,11545.48,Bank Branch,BR-279,Paynetown,Gabon,No,E1122
T000129,GB43QDSE12243998123400,Lisa Williams,2025-01-18,10:00:06,Transfer,4669.63,6217.35,1547.72,ATM,BR-581,North Garrett,Dominican Republic,No,
T000130,GB49HLVM22808664362195,James Brooks III,2025-01-05,08:00:21,Transfer,4410.28,2472.18,-1938.1,ATM,BR-631,South Julieland,Guernsey,No,E1179
T000131,GB18JGKN40813630088243,Kevin Jones,2025-01-13,09:26:31,Withdrawal,4402.39,6428.83,2026.44,Bank Branch,BR-767,Lake Stephenfurt,Seychelles,Yes,E1389
T000132,GB07AMJZ95990288443088,Eduardo Doyle,2025-01-08,19:33:19,Transfer,1879.16,6162.59,4283.43,Bank Branch,BR-552,Rhondaport,Italy,No,
T000133,GB03YJBT06109039506120,Karen Bailey,2025-01-09,08:57:42,Transfer,830.85,7074.48,6243.63,ATM,BR-384,Kathrynborough,Peru,No,
T000134,GB33TSFS12541413879697,Carla Dyer,2025-01-12,05:30:25,Withdrawal,4177.04,11262.89,7085.85,ATM,BR-285,Davidchester,Greenland,Yes,E1882
T000135,GB16PKWV93525822418754,Lauren Davidson,2025-01-13,04:47:02,Transfer,3532.52,3629.11,96.59,Bank Branch,BR-699,Jamesville,Papua New Guinea,Yes,E1446
T000136,GB65EEZZ14281202977126,Mr. Anthony Cunningham,2025-01-08,09:18:23,Withdrawal,3077.8,5393.97,2316.17,ATM,BR-546,South Thomasview,French Guiana,No,E1470
T000137,GB86VMWL69280001663669,Donald Anderson,2025-01-06,08:01:55,Withdrawal,4936.8,14185.05,9248.25,ATM,BR-750,East Stephen,Bahamas,No,
T000138,GB59TEOS08999529180570,Jaime Taylor,2025-01-16,08:27:58,Deposit,3287.18,14421.96,17709.14,ATM,BR-933,North Maryport,Albania,Yes,
T000139,GB14SPJP98754039260471,Anthony Orr,2025-01-17,23:23:27,Deposit,88.72,2220.35,2309.07,ATM,BR-603,Stewartside,Cuba,No,
T000140,GB27LHCR18991116625318,Lisa Dillon,2025-01-06,22:47:35,Transfer,4094.67,8744.39,4649.72,Online,BR-193,Jacksonhaven,Burundi,Yes,
T000141,GB81LHHO06092314707439,David Hunter,2025-01-11,08:06:38,Withdrawal,1531.92,11309.61,9777.69,Online,BR-581,West Edgar,Korea,Yes,E1296
T000142,GB63BARH42222962287645,David Cooper,2025-01-05,20:03:21,Deposit,3333.77,8899.71,12233.48,Bank Branch,BR-456,East Jeremiah,Dominica,No,E1414
T000143,GB68GBDC18370668702553,Melissa Harrison,2025-01-23,20:05:42,Deposit,4697.7,4929.85,9627.55,Online,BR-518,Davidtown,Jamaica,Yes,
T000144,GB89GYDN62989857111894,Ms. Kathleen White,2025-01-11,19:27:55,Deposit,714.74,8982.73,9697.47,ATM,BR-441,Stephentown,Singapore,Yes,
T000145,GB89IMWE31903330113649,Jesse Thomas,2025-01-23,03:29:03,Deposit,621.37,18191.93,18813.3,Online,BR-428,Port Mollymouth,Brazil,Yes,
T000146,GB19BJDH19523385379195,Kelly Gray,2025-01-05,18:33:46,Transfer,579.83,12097.51,11517.68,Bank Branch,BR-786,Markview,Paraguay,No,
T000147,GB17ZMRV93057188854882,Karen Bell,2025-01-23,08:24:56,Deposit,2788.46,14214.94,17003.4,Bank Branch,BR-207,Kevinborough,Greece,No,E1864
T000148,GB61JIPR53664787377073,Tyler Cherry,2025-01-19,23:31:05,Transfer,1398.12,17277.91,15879.79,Bank Branch,BR-978,East Kevinchester,Nigeria,Yes,
T000149,GB10DQZI18134794634611,Jennifer Campos,2025-01-20,02:11:18,Withdrawal,3043.91,15546.3,12502.39,Online,BR-264,Dennisbury,Malawi,No,
T000150,GB70FVGU25570949615772,Stacy Vincent,2025-01-10,17:50:18,Transfer,3602.18,8227.24,4625.06,Online,BR-437,Jennifermouth,Congo,Yes,E1536
T000151,GB16RSUE18119081581030,Richard Frank,2025-01-22,16:47:15,Deposit,1057.81,1112.03,2169.84,Online,BR-521,Michaelland,Costa Rica,Yes,
T000152,GB46RIWM67573073268670,Kathleen Dean,2025-01-03,15:39:33,Withdrawal,3189.48,7683.42,4493.94,Bank Branch,BR-810,Marilynshire,Chile,No,
T000153,GB86KKSM04821702246072,Lori Mcdonald,2025-01-02,06:49:00,Withdrawal,1356.72,15316.03,13959.31,ATM,BR-607,Jasmineside,Comoros,No,
T000154,GB68KWYQ83305885876525,Mindy Farmer,2025-01-14,09:56:39,Transfer,2468.23,17215.51,14747.28,ATM,BR-395,North Brandyberg,Monaco,No,E1797
T000155,GB29QTOQ60817253818730,Charles Johnson,2025-01-03,08:03:39,Withdrawal,4531.42,19115.18,14583.76,Bank Branch,BR-778,Wesleyhaven,Cyprus,Yes,E1078
T000156,GB93AOWF81460237740394,Diane Diaz,2025-01-04,02:34:32,Transfer,4238.21,8961.4,4723.19,Bank Branch,BR-510,Ariasstad,Greenland,Yes,E1543
T000157,GB19ANOE29548923715884,Jessica Lane,2025-01-09,06:39:07,Withdrawal,506.88,15202.8,14695.92,Bank Branch,BR-933,Lake Anthonyville,Moldova,Yes,
